rxnid,Yield
test684,0.6452
test685,0.6452
test686,0.6452
test687,0.6452
test688,0.6452
test689,0.6452
test690,0.6452
test691,0.6452
test692,0.6452
test693,0.6452
test694,0.6452
test695,0.6452
test696,0.6452
test697,0.6452
test698,0.6452
test699,0.6452
test700,0.6452
test701,0.6452
test702,0.6452
test703,0.6452
test704,0.6452
test705,0.6452
test706,0.6452
test707,0.6452
test708,0.6452
test709,0.6452
test710,0.6452
test711,0.6452
test712,0.6452
test713,0.6452
test714,0.6452
test715,0.6452
test716,0.6452
test717,0.6452
test718,0.6452
test719,0.6452
test720,0.6452
test721,0.6452
test722,0.6452
test723,0.6452
test724,0.6452
test725,0.6452
test726,0.6452
test727,0.6452
test728,0.6452
test729,0.6452
test730,0.6452
test731,0.6452
test732,0.6452
test733,0.6452
test734,0.6452
test735,0.6452
test736,0.6452
test737,0.6452
test738,0.6452
test739,0.6452
test740,0.6452
test741,0.6452
test742,0.6452
test743,0.6452
test744,0.6452
test745,0.6452
test746,0.6452
test747,0.6452
test748,0.6601
test749,0.6452
test750,0.6452
test751,0.6452
test752,0.6452
test753,0.6452
test754,0.6452
test755,0.6452
test756,0.6452
test757,0.6452
test758,0.6452
test759,0.6452
test760,0.6452
test761,0.6452
test762,0.6452
test763,0.6452
test764,0.6452
test765,0.6452
test766,0.6452
test767,0.6452
test768,0.6452
test769,0.6452
test770,0.6452
test771,0.6452
test772,0.6452
test773,0.6452
test774,0.6452
test775,0.6452
test776,0.6452
test777,0.6452
test778,0.6452
test779,0.6452
test780,0.6452
test781,0.6452
test782,0.6452
test783,0.6452
test784,0.6452
test785,0.6452
test786,0.6452
test787,0.6452
test788,0.6452
test789,0.6452
test790,0.6452
test791,0.6452
test792,0.6452
test793,0.6452
test794,0.6452
test795,0.6452
test796,0.6452
test797,0.6452
test798,0.6452
test799,0.6452
test800,0.6452
test801,0.6452
test802,0.6452
test803,0.6601
test804,0.6452
test805,0.6452
test806,0.6452
test807,0.6452
test808,0.6452
test809,0.6452
test810,0.6452
test811,0.6452
test812,0.6452
test813,0.6452
test814,0.6452
test815,0.6452
test816,0.6452
test817,0.6452
test818,0.6452
test819,0.6452
test820,0.6452
test821,0.6452
test822,0.6452
test823,0.6452
test824,0.6452
test825,0.6452
test826,0.6452
test827,0.6452
test828,0.6452
test829,0.6452
test830,0.6452
test831,0.6452
test832,0.6452
test833,0.6452
test834,0.6452
test835,0.6452
test836,0.6452
test837,0.6452
test838,0.6452
test839,0.6452
test840,0.6452
test841,0.6452
test842,0.6452
test843,0.6452
test844,0.6452
test845,0.6452
test846,0.6452
test847,0.6452
test848,0.6452
test849,0.6452
test850,0.6452
test851,0.6452
test852,0.6452
test853,0.6452
test854,0.6452
test855,0.6452
test856,0.6452
test857,0.6452
test858,0.6452
test859,0.6452
test860,0.6452
test861,0.6452
test862,0.6452
test863,0.6452
test864,0.6452
test865,0.6452
test866,0.6601
test867,0.6452
test868,0.6452
test869,0.6452
test870,0.6452
test871,0.6452
test872,0.6452
test873,0.6452
test874,0.6452
test875,0.6452
test876,0.6452
test877,0.6452
test878,0.6452
test879,0.6452
test880,0.6452
test881,0.6452
test882,0.6452
test883,0.6452
test884,0.6452
test885,0.6452
test886,0.6452
test887,0.6452
test888,0.6452
test889,0.6452
test890,0.6452
test891,0.6452
test892,0.6452
test893,0.6452
test894,0.6452
test895,0.6452
test896,0.6452
test897,0.6452
test898,0.6452
test899,0.6452
test900,0.6452
test901,0.6452
test902,0.6452
test903,0.6452
test904,0.6452
test905,0.6452
test906,0.6452
test907,0.6452
test908,0.6601
test909,0.6452
test910,0.6452
test911,0.6452
test912,0.6452
test913,0.6452
test914,0.6452
test915,0.6452
test916,0.6452
test917,0.6452
test918,0.6452
test919,0.6452
test920,0.6452
test921,0.6452
test922,0.6452
test923,0.6452
test924,0.6452
test925,0.6452
test926,0.6452
test927,0.6452
test928,0.6452
test929,0.6452
test930,0.6452
test931,0.6452
test932,0.6452
test933,0.6452
test934,0.6452
test935,0.6452
test936,0.6452
test937,0.6452
test938,0.6452
test939,0.6452
test940,0.6452
test941,0.6452
test942,0.6452
test943,0.6452
test944,0.6452
test945,0.6452
test946,0.6452
test947,0.6452
test948,0.6452
test949,0.6452
test950,0.6452
test951,0.6452
test952,0.6452
test953,0.6452
test954,0.6452
test955,0.6452
test956,0.6452
test957,0.6452
test958,0.6452
test959,0.6452
test960,0.6452
test961,0.6452
test962,0.6452
test963,0.6452
test964,0.6452
test965,0.6452
test966,0.6452
test967,0.6452
test968,0.6452
test969,0.6452
test970,0.6452
test971,0.6452
test972,0.6452
test973,0.6452
test974,0.6452
test975,0.6452
test976,0.6452
test977,0.6452
test978,0.6452
test979,0.6452
test980,0.6452
test981,0.6452
test982,0.6452
test983,0.6452
test984,0.6452
test985,0.6452
test986,0.6452
test987,0.6452
test988,0.6452
test989,0.6452
test990,0.6452
test991,0.6452
test992,0.6452
test993,0.6452
test994,0.6452
test995,0.6452
test996,0.6452
test997,0.6452
test998,0.6452
test999,0.6452
test1000,0.6452
test1001,0.6452
test1002,0.6452
test1003,0.6452
test1004,0.6452
test1005,0.6452
test1006,0.6452
test1007,0.6452
test1008,0.6452
test1009,0.6452
test1010,0.6452
test1011,0.6452
test1012,0.6452
test1013,0.6601
test1014,0.6452
test1015,0.6452
test1016,0.6452
test1017,0.6452
test1018,0.6452
test1019,0.6452
test1020,0.6452
test1021,0.6452
test1022,0.6452
test1023,0.6452
test1024,0.6452
test1025,0.6452
test1026,0.6452
test1027,0.6452
test1028,0.6452
test1029,0.6452
test1030,0.6452
test1031,0.6452
test1032,0.6452
test1033,0.6452
test1034,0.6452
test1035,0.6452
test1036,0.6452
test1037,0.6452
test1038,0.6452
test1039,0.6452
test1040,0.6452
test1041,0.6452
test1042,0.6452
test1043,0.6452
test1044,0.6452
test1045,0.6452
test1046,0.6452
test1047,0.6452
test1048,0.6452
test1049,0.6452
test1050,0.6452
test1051,0.6452
test1052,0.6452
test1053,0.6452
test1054,0.6452
test1055,0.6452
test1056,0.6452
test1057,0.6452
test1058,0.6452
test1059,0.6452
test1060,0.6452
test1061,0.6452
test1062,0.6452
test1063,0.6452
test1064,0.6452
test1065,0.6452
test1066,0.6452
test1067,0.6452
test1068,0.6452
test1069,0.6452
test1070,0.6452
test1071,0.6452
test1072,0.6452
test1073,0.6452
test1074,0.6452
test1075,0.6452
test1076,0.6452
test1077,0.6452
test1078,0.6452
test1079,0.6452
test1080,0.6452
test1081,0.6452
test1082,0.6452
test1083,0.6452
test1084,0.6452
test1085,0.6452
test1086,0.6601
test1087,0.6452
test1088,0.6452
test1089,0.6452
test1090,0.6452
test1091,0.6452
test1092,0.6452
test1093,0.6452
test1094,0.6452
test1095,0.6452
test1096,0.6452
test1097,0.6452
test1098,0.6452
test1099,0.6452
test1100,0.6452
test1101,0.6452
test1102,0.6452
test1103,0.6452
test1104,0.6452
test1105,0.6452
test1106,0.6452
test1107,0.6452
test1108,0.6452
test1109,0.6452
test1110,0.6452
test1111,0.6452
test1112,0.6452
test1113,0.6452
test1114,0.6452
test1115,0.6452
test1116,0.6452
test1117,0.6452
test1118,0.6452
test1119,0.6452
test1120,0.6452
test1121,0.6452
test1122,0.6452
test1123,0.6452
test1124,0.6452
test1125,0.6452
test1126,0.6452
test1127,0.6452
test1128,0.6452
test1129,0.6452
test1130,0.6452
test1131,0.6601
test1132,0.6452
test1133,0.6452
test1134,0.6452
test1135,0.6452
test1136,0.6452
test1137,0.6452
test1138,0.6452
test1139,0.6452
test1140,0.6452
test1141,0.6452
test1142,0.6452
test1143,0.6452
test1144,0.6452
test1145,0.6452
test1146,0.6452
test1147,0.6452
test1148,0.6452
test1149,0.6452
test1150,0.6452
test1151,0.6452
test1152,0.6452
test1153,0.6452
test1154,0.6452
test1155,0.6452
test1156,0.6452
test1157,0.6452
test1158,0.6452
test1159,0.6452
test1160,0.6452
test1161,0.6452
test1162,0.6452
test1163,0.6452
test1164,0.6452
test1165,0.6452
test1166,0.6452
test1167,0.6452
test1168,0.6452
test1169,0.6452
test1170,0.6452
test1171,0.6452
test1172,0.6452
test1173,0.6452
test1174,0.6452
test1175,0.6452
test1176,0.6452
test1177,0.6452
test1178,0.6452
test1179,0.6452
test1180,0.6452
test1181,0.6452
test1182,0.6452
test1183,0.6452
test1184,0.6452
test1185,0.6452
test1186,0.6452
test1187,0.6452
test1188,0.6452
test1189,0.6452
test1190,0.6452
test1191,0.6452
test1192,0.6452
test1193,0.6452
test1194,0.6452
test1195,0.6452
test1196,0.6452
test1197,0.6452
test1198,0.6452
test1199,0.6452
test1200,0.6452
test1201,0.6452
test1202,0.6452
test1203,0.6452
test1204,0.6452
test1205,0.6452
test1206,0.6452
test1207,0.6452
test1208,0.6452
test1209,0.6452
test1210,0.6452
test1211,0.6452
test1212,0.6452
test1213,0.6601
test1214,0.6452
test1215,0.6452
test1216,0.6452
test1217,0.6452
test1218,0.6452
test1219,0.6452
test1220,0.6452
test1221,0.6452
test1222,0.6452
test1223,0.6452
test1224,0.6452
test1225,0.6452
test1226,0.6452
test1227,0.6452
test1228,0.6452
test1229,0.6452
test1230,0.6452
test1231,0.6452
test1232,0.6452
test1233,0.6452
test1234,0.6452
test1235,0.6452
test1236,0.6452
test1237,0.6452
test1238,0.6452
test1239,0.6452
test1240,0.6452
test1241,0.6601
test1242,0.6452
test1243,0.6452
test1244,0.6452
test1245,0.6452
test1246,0.6452
test1247,0.6452
test1248,0.6452
test1249,0.6452
test1250,0.6452
test1251,0.6452
test1252,0.6452
test1253,0.6452
test1254,0.6452
test1255,0.6452
test1256,0.6452
test1257,0.6452
test1258,0.6452
test1259,0.6452
test1260,0.6452
test1261,0.6452
test1262,0.6452
test1263,0.6452
test1264,0.6452
test1265,0.6452
test1266,0.6452
test1267,0.6452
test1268,0.6452
test1269,0.6452
test1270,0.6452
test1271,0.6452
test1272,0.6452
test1273,0.6452
test1274,0.6452
test1275,0.6452
test1276,0.6452
test1277,0.6452
test1278,0.6452
test1279,0.6452
test1280,0.6452
test1281,0.6452
test1282,0.6452
test1283,0.6452
test1284,0.6452
test1285,0.6452
test1286,0.6452
test1287,0.6452
test1288,0.6452
test1289,0.6452
test1290,0.6452
test1291,0.6452
test1292,0.6452
test1293,0.6452
test1294,0.6452
test1295,0.6452
test1296,0.6452
test1297,0.6452
test1298,0.6452
test1299,0.6452
test1300,0.6452
test1301,0.6452
test1302,0.6452
test1303,0.6452
test1304,0.6452
test1305,0.6452
test1306,0.6452
test1307,0.6452
test1308,0.6452
test1309,0.6452
test1310,0.6452
test1311,0.6452
test1312,0.6452
test1313,0.6452
test1314,0.6452
test1315,0.6452
test1316,0.6601
test1317,0.6452
test1318,0.6452
test1319,0.6452
test1320,0.6452
test1321,0.6452
test1322,0.6452
test1323,0.6452
test1324,0.6452
test1325,0.6452
test1326,0.6452
test1327,0.6452
test1328,0.6452
test1329,0.6452
test1330,0.6452
test1331,0.6452
test1332,0.6452
test1333,0.6452
test1334,0.6452
test1335,0.6452
test1336,0.6452
test1337,0.6452
test1338,0.6452
test1339,0.6452
test1340,0.6452
test1341,0.6452
test1342,0.6452
test1343,0.6452
test1344,0.6452
test1345,0.6452
test1346,0.6452
test1347,0.6452
test1348,0.6452
test1349,0.6452
test1350,0.6452
test1351,0.6452
test1352,0.6452
test1353,0.6452
test1354,0.6452
test1355,0.6452
test1356,0.6452
test1357,0.6452
test1358,0.6452
test1359,0.6452
test1360,0.6452
test1361,0.6452
test1362,0.6601
test1363,0.6452
test1364,0.6452
test1365,0.6452
test1366,0.6452
test1367,0.6452
test1368,0.6452
test1369,0.6452
test1370,0.6452
test1371,0.6452
test1372,0.6452
test1373,0.6452
test1374,0.6452
test1375,0.6452
test1376,0.6452
test1377,0.6452
test1378,0.6452
test1379,0.6452
test1380,0.6452
test1381,0.6452
test1382,0.6452
test1383,0.6452
test1384,0.6452
test1385,0.6452
test1386,0.6452
test1387,0.6452
test1388,0.6452
test1389,0.6452
test1390,0.6452
test1391,0.6452
test1392,0.6452
test1393,0.6452
test1394,0.6452
test1395,0.6452
test1396,0.6452
test1397,0.6452
test1398,0.6452
test1399,0.6452
test1400,0.6452
test1401,0.6452
test1402,0.6452
test1403,0.6452
test1404,0.6452
test1405,0.6452
test1406,0.6452
test1407,0.6452
test1408,0.6452
test1409,0.6452
test1410,0.6452
test1411,0.6452
test1412,0.6452
test1413,0.6452
test1414,0.6452
test1415,0.6452
test1416,0.6452
test1417,0.6452
test1418,0.6452
test1419,0.6452
test1420,0.6452
test1421,0.6452
test1422,0.6452
test1423,0.6452
test1424,0.6452
test1425,0.6452
test1426,0.6452
test1427,0.6452
test1428,0.6452
test1429,0.6452
test1430,0.6452
test1431,0.6452
test1432,0.6452
test1433,0.6452
test1434,0.6452
test1435,0.6452
test1436,0.6452
test1437,0.6452
test1438,0.6452
test1439,0.6452
test1440,0.6452
test1441,0.6452
test1442,0.6452
test1443,0.6452
test1444,0.6452
test1445,0.6452
test1446,0.6452
test1447,0.6452
test1448,0.6452
test1449,0.6452
test1450,0.6452
test1451,0.6452
test1452,0.6452
test1453,0.6452
test1454,0.6452
test1455,0.6452
test1456,0.6452
test1457,0.6452
test1458,0.6452
test1459,0.6452
test1460,0.6452
test1461,0.6452
test1462,0.6452
test1463,0.6452
test1464,0.6601
test1465,0.6452
test1466,0.6452
test1467,0.6452
test1468,0.6452
test1469,0.6452
test1470,0.6452
test1471,0.6452
test1472,0.6452
test1473,0.6452
test1474,0.6452
test1475,0.6452
test1476,0.6452
test1477,0.6452
test1478,0.6452
test1479,0.6452
test1480,0.6452
test1481,0.6452
test1482,0.6601
test1483,0.6452
test1484,0.6452
test1485,0.6452
test1486,0.6452
test1487,0.6452
test1488,0.6452
test1489,0.6452
test1490,0.6452
test1491,0.6452
test1492,0.6452
test1493,0.6452
test1494,0.6452
test1495,0.6452
test1496,0.6452
test1497,0.6452
test1498,0.6452
test1499,0.6452
test1500,0.6452
test1501,0.6452
test1502,0.6452
test1503,0.6452
test1504,0.6452
test1505,0.6452
test1506,0.6452
test1507,0.6452
test1508,0.6452
test1509,0.6452
test1510,0.6452
test1511,0.6452
test1512,0.6452
test1513,0.6452
test1514,0.6452
test1515,0.6452
test1516,0.6452
test1517,0.6452
test1518,0.6452
test1519,0.6452
test1520,0.6452
test1521,0.6452
test1522,0.6452
test1523,0.6452
test1524,0.6452
test1525,0.6452
test1526,0.6452
test1527,0.6452
test1528,0.6452
test1529,0.6452
test1530,0.6452
test1531,0.6452
test1532,0.6452
test1533,0.6452
test1534,0.6452
test1535,0.6452
test1536,0.6452
test1537,0.6452
test1538,0.6452
test1539,0.6452
test1540,0.6452
test1541,0.6452
test1542,0.6452
test1543,0.6452
test1544,0.6452
test1545,0.6452
test1546,0.6452
test1547,0.6452
test1548,0.6452
test1549,0.6452
test1550,0.6452
test1551,0.6452
test1552,0.6452
test1553,0.6452
test1554,0.6452
test1555,0.6452
test1556,0.6452
test1557,0.6452
test1558,0.6452
test1559,0.6452
test1560,0.6452
test1561,0.6452
test1562,0.6452
test1563,0.6452
test1564,0.6452
test1565,0.6452
test1566,0.6452
test1567,0.6452
test1568,0.6452
test1569,0.6452
test1570,0.6452
test1571,0.6452
test1572,0.6452
test1573,0.6452
test1574,0.6452
test1575,0.6452
test1576,0.6452
test1577,0.6452
test1578,0.6452
test1579,0.6452
test1580,0.6452
test1581,0.6452
test1582,0.6452
test1583,0.6452
test1584,0.6452
test1585,0.6452
test1586,0.6452
test1587,0.6452
test1588,0.6452
test1589,0.6452
test1590,0.6452
test1591,0.6452
test1592,0.6452
test1593,0.6452
test1594,0.6452
test1595,0.6452
test1596,0.6452
test1597,0.6452
test1598,0.6452
test1599,0.6601
test1600,0.6452
test1601,0.6452
test1602,0.6452
test1603,0.6452
test1604,0.6452
test1605,0.6452
test1606,0.6452
test1607,0.6452
test1608,0.6452
test1609,0.6452
test1610,0.6452
test1611,0.6452
test1612,0.6452
test1613,0.6452
test1614,0.6452
test1615,0.6452
test1616,0.6452
test1617,0.6452
test1618,0.6452
test1619,0.6452
test1620,0.6601
test1621,0.6452
test1622,0.6452
test1623,0.6452
test1624,0.6452
test1625,0.6452
test1626,0.6452
test1627,0.6452
test1628,0.6452
test1629,0.6452
test1630,0.6452
test1631,0.6452
test1632,0.6452
test1633,0.6452
test1634,0.6452
test1635,0.6452
test1636,0.6452
test1637,0.6452
test1638,0.6452
test1639,0.6452
test1640,0.6452
test1641,0.6452
test1642,0.6452
test1643,0.6452
test1644,0.6452
test1645,0.6452
test1646,0.6452
test1647,0.6452
test1648,0.6452
test1649,0.6452
test1650,0.6452
test1651,0.6452
test1652,0.6452
test1653,0.6452
test1654,0.6452
test1655,0.6452
test1656,0.6452
test1657,0.6452
test1658,0.6452
test1659,0.6452
test1660,0.6452
test1661,0.6452
test1662,0.6452
test1663,0.6452
test1664,0.6452
